location,x_coord,y_coord,z_coord,orientation
PAL0153041303,69700,44000,9000,2
PAL0153041501,69700,42200,10500,2
PAL0153041502,69700,43100,10500,2
PAL0153041503,69700,44000,10500,2
PAL0153060101,69700,44900,0,2
PAL0153060102,69700,45800,0,2
PAL0153060103,69700,46700,0,2
PAL0153060301,69700,44900,1500,2
PAL0153060302,69700,45800,1500,2
PAL0153060303,69700,46700,1500,2
PAL0153060501,69700,44900,3000,2
PAL0153060502,69700,45800,3000,2
PAL0153060503,69700,46700,3000,2
PAL0153060701,69700,44900,4500,2
PAL0153060702,69700,45800,4500,2
PAL0153060703,69700,46700,4500,2
PAL0153060901,69700,44900,6000,2
PAL0153060902,69700,45800,6000,2
PAL0153060903,69700,46700,6000,2
PAL0153061101,69700,44900,7500,2
PAL0153061102,69700,45800,7500,2
PAL0153061103,69700,46700,7500,2
PAL0153061301,69700,44900,9000,2
PAL0153061302,69700,45800,9000,2
PAL0153061303,69700,46700,9000,2
PAL0153061501,69700,44900,10500,2
PAL0153061502,69700,45800,10500,2
PAL0153061503,69700,46700,10500,2
PAL0153080101,69700,47600,0,2
PAL0153080102,69700,48500,0,2
PAL0153080103,69700,49400,0,2
PAL0153080301,69700,47600,1500,2
PAL0153080302,69700,48500,1500,2
PAL0153080303,69700,49400,1500,2
PAL0153080501,69700,47600,3000,2
PAL0153080502,69700,48500,3000,2
PAL0153080503,69700,49400,3000,2
PAL0153080701,69700,47600,4500,2
PAL0153080702,69700,48500,4500,2
PAL0153080703,69700,49400,4500,2
PAL0153080901,69700,47600,6000,2
PAL0153080902,69700,48500,6000,2
PAL0153080903,69700,49400,6000,2
PAL0153081101,69700,47600,7500,2
PAL0153081102,69700,48500,7500,2
PAL0153081103,69700,49400,7500,2
PAL0153081301,69700,47600,9000,2
PAL0153081302,69700,48500,9000,2
PAL0153081303,69700,49400,9000,2
PAL0153081501,69700,47600,10500,2
PAL0153081502,69700,48500,10500,2
PAL0153081503,69700,49400,10500,2
PAL0153100101,69700,50300,0,2
PAL0153100102,69700,51200,0,2
PAL0153100103,69700,52100,0,2
